Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Hunner;Jelica;1960;BP;;Bayern;25
;;;Hunner;Johann;1941;BP;;Bayern;26
;;;Hupe;Vera;1959;ödp;;Thüringen;6
;;;Hurst;Martina;1982;CDU;;Baden-Württemberg;23
;;;Hussinger;Monica;1960;FDP;;Saarland;4
;;;Huth;Christian;1964;BüSo;206;;
;;;Huth;Joachim;1960;BüSo;24;;
;;;Igelmann;Richard;1977;DVU;;Niedersachsen;5
;;;Ilius;Klaus-Dieter;1948;MLPD;;Berlin;5
;;;Ilius;Petra;1950;MLPD;85;Berlin;3
;;;Ilkhanipour;Danial;1981;SPD;21;;
;;;Irion;Jörg Joachim;1939;MLPD;;Brandenburg;3
;;;Irmscher;Philipp;1988;FDP;237;Bayern;42
;;;Iseke;Thomas;1963;FDP;44;Niedersachsen;21
;;;Izgin;Figen;1965;DIE LINKE;82;Berlin;7
;;;Jackowski;Gerlind Annemarie;1944;ödp;;Niedersachsen;4
;;;Jäger;Ulf;1964;DIE LINKE;125;;
;;;Jaeschke;Jan;1990;NPD;274;;
;;;Jager;Dr. Eva;1950;FDP;;Hessen;34
;;;Jagsch;Stefan;1986;NPD;179;Hessen;5
;;;Jahn;Andreas;1955;NPD;184;;
;;;Jahn;Kirsten;1976;GRÜNE;;Nordrhein-Westfalen;25
;;;Jansen;Franz;1935;;202;;
;;;Janßen;Cornelius Heinrich;1965;FDP;154;Sachsen;9
;;;Janssen;Jan;1971;;9;;
;;;Janssen;Michael;1985;NPD;111;;
;;;Janus;Richard;1970;GRÜNE;190;Thüringen;7
;;;Jarmer;Hans-Werner;1958;ZENTRUM;1;;
;;;Jarzombek;Thomas;1973;CDU;107;Nordrhein-Westfalen;44
;;;Jaschkowski;Erich;1952;;74;;
;;;Jasper;Dr. Dieter;1962;CDU;129;Nordrhein-Westfalen;39
;;;Jauernig;Dorothea;1938;MLPD;261;Baden-Württemberg;8
;;;Jehle;Jochen;1968;SPD;293;Baden-Württemberg;33
;;;Jelpke;Ursula;1951;DIE LINKE;144;Nordrhein-Westfalen;2
;;;Jenkel;Reiner;1950;DIE LINKE;131;;
;;;Jennerjahn;Kai;1983;Tierschutz;;Berlin;5
;;;Jens;Karina Annemarie;1958;CDU;;Mecklenburg-Vorpommern;10
;;;Jensen;Dr. Nils;1975;ödp;;Hamburg;9
;;;Jenssen;Jens;1979;SPD;;Rheinland-Pfalz;29
;;;Jenter;Anneliese;1953;SPD;294;Baden-Württemberg;32
;;;Jepsen;Thomas;1973;CDU;;Schleswig-Holstein;19
;;;Jeschke;Marieluise;1935;REP;;Berlin;2
;;;Jesinghausen;Elke;1955;CDU;;Hessen;43
;;;Jezewski;Heinz-Werner;1958;DIE LINKE;1;Schleswig-Holstein;6
;;;Jochimsen;Dr. Lukrezia Luise;1936;DIE LINKE;;Thüringen;2
;;;Jochum;Mathias;1981;CDU;;Saarland;20
;;;Jöbkes;Bruno;1967;GRÜNE;113;;
;;;Jöckle;Wolfgang;1950;ödp;;Rheinland-Pfalz;5
;;;Jörns;Sven Wolfgang;1970;PIRATEN;;Schleswig-Holstein;4
;;;Johanning-Sturm;Silke;1976;CDU;;Niedersachsen;45
;;;Johannpötter;Norbert;1972;ödp;;Nordrhein-Westfalen;11
;;;Johlke;Gisela;1945;GRÜNE;90;;
;;;John;Robin;1976;FDP;163;;
;;;John;Rüdiger;1977;ödp;;Rheinland-Pfalz;16
;;;John;Siegmar;1939;BüSo;158;Sachsen;11
;;;Joosten;Arnold Peter;1982;SPD;;Rheinland-Pfalz;16
;;;Jordan;Dr. Hans-Heinrich;1948;CDU;67;Sachsen-Anhalt;5
;;;Jost;Ingrid;1948;DIE LINKE;;Nordrhein-Westfalen;27
;;;Juchler;Dr. Ingo;1962;SPD;272;;
;;;Jürgens;Ludwig;1942;SPD;;Niedersachsen;51
;;;Jüttner;Dr. Egon;1942;CDU;275;Baden-Württemberg;14
;;;Jüttner;Johannes;1966;REP;;Bayern;5
;;;Julius;Gert;1936;DKP;;Berlin;8
;;;Juner;Jörg;1967;SPD;;Rheinland-Pfalz;26
;;;Jung;Andreas;1975;CDU;287;;
;;;Jung;Dr. Franz Josef;1949;CDU;184;Hessen;1
;;;Jung;Gabriele;1965;GRÜNE;;Saarland;4
;;;Jung;Johannes;1967;SPD;271;Baden-Württemberg;19
;;;Jung;Manuela;1960;Tierschutz;;Niedersachsen;3
;;;Jung;Sabine;1960;SPD;;Saarland;8
;;;Jung;Walter;1950;FDP;202;Rheinland-Pfalz;14
;;;Jung;Xaver;1962;CDU;210;Rheinland-Pfalz;14
;;;Jungmann;Jörg;1952;DIE LINKE;179;Hessen;6
;;;Junker;Franziska;1963;DIE LINKE;26;Niedersachsen;26
;;;Junkereit;Luzian Bernd;1969;DIE LINKE;135;;
;;;Juratovic;Josip;1959;SPD;267;Baden-Württemberg;15
;;;Just;Dirk;1973;GRÜNE;210;;
;;;Kabisch;Jens;1984;SPD;152;Sachsen;11
;;;Kaczmarek;Oliver;1970;SPD;145;Nordrhein-Westfalen;48
;;;Kaehne;Arne;1977;NPD;2;;
;;;Kaenders;Gabriele;1951;DIE LINKE;;Nordrhein-Westfalen;25
;;;Kaesbach;Martina;1964;FDP;;Hamburg;4
;;;Kästner;Alexander;1975;CDU;197;Thüringen;8
;;;Kästner;Toni;1985;BüSo;161;Sachsen;2
;;;Kahl;Dr. Hartmut Herrmann;1981;GRÜNE;165;Sachsen;4
;;;Kahl;Michèle;1985;GRÜNE;;Niedersachsen;15
;;;Kahraman-Meister;Yazgülü;1962;MLPD;;Nordrhein-Westfalen;4
;;;Kahrs;Johannes;1963;SPD;19;;
;;;Kainz;Werner;1963;VIOLETTEN;;Bayern;6
;;;Kaiser;Brigitte Ottilie;1944;RRP;29;Niedersachsen;8
;;;Kaiser;Christa;1953;BüSo;220;Bayern;2
;;;Kaiser;Gerhard;1954;SPD;;Hessen;40
;;;Kaiser;Manfred;1968;ödp;;Thüringen;8
;;;Kaiser;Peter;1971;FDP;;Rheinland-Pfalz;22
;;;Kaiser;Sandra;1974;ödp;;Thüringen;10
;;;Kalb;Bartholomäus;1949;CSU;227;;
;;;Kalka;Artur;1969;Tierschutz;;Berlin;1
;;;Kallweit;Patrick;1985;NPD;53;Niedersachsen;4
;;;Kallweit;Uwe;1955;NPD;46;;
;;;Kaltenhauser;Dr. Helmut;1961;FDP;247;Bayern;22
;;;Kalteyer;Norman;1965;DIE LINKE;184;;
;;;Kaltschmid;Uwe;1956;Volksabst.;;Baden-Württemberg;7
;;;Kamburoglu;Ali;1958;;76;;
;;;Kaminski;Maren;1979;DIE LINKE;40;;
;;;Kammer;Hans-Werner;1948;CDU;27;Niedersachsen;13
;;;Kammer;Jürgen;1962;PIRATEN;;Saarland;4
;;;Kammer;Rochus;1956;FDP;;Bayern;33
;;;Kammerer;Günther;1963;FDP;230;Bayern;46
;;;Kamp;Heiner;1964;FDP;132;Nordrhein-Westfalen;19
;;;Kampeter;Steffen;1963;CDU;135;Nordrhein-Westfalen;8
;;;Kanitz;Steffen;1984;CDU;143;Nordrhein-Westfalen;52
;;;Kanmaz;Olcay;1957;DIE LINKE;198;;
;;;Kanneder;Harald;1965;;231;;
;;;Kansiz;Ahmet;1963;;185;;
;;;Kapp;Helena;1951;CDU;;Baden-Württemberg;29
;;;Karcher;Thomas;1978;;219;;
;;;Karl;Alois;1950;CSU;232;;
;;;Karl;Andreas;1963;NPD;74;Sachsen-Anhalt;4
;;;Karpowski;Ilja Bertold;1981;BüSo;97;Nordrhein-Westfalen;6
;;;Karstens;Dr. Detleff;1941;PBC;52;;
;;;Karstens;Stefan;1981;DIE LINKE;4;;
;;;Kaschke;Andreas;1967;NPD;97;;
;;;Kaschner;Heidi;1955;DIE LINKE;;Bayern;19
;;;Kasem;Suat;1988;PIRATEN;233;;
;;;Kasper;Jacqueline;1978;NPD;123;;
;;;Kaster;Bernhard Nikolaus;1957;CDU;204;Rheinland-Pfalz;3
;;;Kastner;Susanne;1946;SPD;248;Bayern;2
;;;Kather;Ilse;1948;MLPD;;Berlin;4
;;;Kauch;Michael;1967;FDP;143;Nordrhein-Westfalen;10
;;;Kauder;Siegfried;1950;CDU;286;;
;;;Kauder;Volker;1949;CDU;285;Baden-Württemberg;3
;;;Kaufmann;Johanna;1940;ödp;263;;
;;;Kaufmann;Dr. Stefan;1969;CDU;258;;
;;;Kauper;Thomas;1960;PBC;;Bayern;7
;;;Kaute;Titus-Ivo;1952;;79;;
;;;Kekeritz;Uwe Adolf Otto;1953;GRÜNE;243;Bayern;10
;;;Kelber;Ulrich;1968;SPD;97;Nordrhein-Westfalen;16
;;;Keller;Christian;1976;SPD;;Niedersachsen;59
;;;Keller;Hartmut;1941;RENTNER;;Schleswig-Holstein;1
;;;Keller;Thomas;1959;FDP;50;Niedersachsen;24
;;;Kemmerle;Hans-Jürgen;1953;DIE LINKE;265;Baden-Württemberg;20
;;;Kepper-Grämer;Ulrike;1956;FDP;;Hessen;37
;;;Keppler;Jens;1966;NPD;284;;
;;;Kerber;Michael;1978;NPD;285;;
;;;Kern;Daniel;1983;CDU;;Rheinland-Pfalz;34
;;;Kersken;Bärbel;1964;MLPD;;Thüringen;7
;;;Kersting;Gerd;1956;ödp;;Nordrhein-Westfalen;1
;;;Kersting;Sieglinde;1957;ödp;;Nordrhein-Westfalen;5
;;;Kessing;Ulrike Josefine;1965;GRÜNE;102;;
;;;Keßler;Ilko;1971;SPD;157;Sachsen;12
;;;Keßler-Binder;Achim Robert;1938;DIE VIOLETTEN;10;;
;;;Kestler;Thomas;1975;GRÜNE;241;;
;;;Keul;Katja;1969;GRÜNE;41;Niedersachsen;5
;;;Khalil;Nader;1968;CDU;;Berlin;13
;;;Kieckbusch;Susanne;1961;GRÜNE;295;Baden-Württemberg;19
;;;Kiehl;Dr. Reinhold;1947;;234;;
;;;Kieninger;Franz Xaver;1964;REP;;Bayern;11
;;;Kienzer;Dr. Cornelia;1957;Freie Union;222;;
;;;Kiesewetter;Roderich;1963;CDU;270;;
;;;Kik;Thomas;1965;REP;;Nordrhein-Westfalen;10
;;;Kilic;Memet;1967;GRÜNE;279;Baden-Württemberg;10
;;;Kind;Lutz;1961;;12;;
;;;Kindelmann;Ralf;1976;CSU;;Bayern;51
;;;Kindler;Sven-Christian;1985;GRÜNE;36;Niedersachsen;6
;;;Kindo;Anja;1966;DIE LINKE;27;Niedersachsen;24
;;;Kipping;Katja;1978;DIE LINKE;160;Sachsen;1
;;;Kirchgeßner;Andreas;1959;DIE LINKE;284;Baden-Württemberg;14
;;;Kirchmann;Dr. Josef;1946;BP;256;Bayern;4
;;;Kirchner;Bruno Josef;1953;NPD;102;;
;;;Kirf;Gertrud;1957;SPD;;Saarland;23
;;;Kirsch;Martina;1973;FDP;;Saarland;10
;;;Kirstan;Frank;1965;SPD;;Berlin;11
;;;Kisa;Hakan;1975;GRÜNE;;Bayern;24
;;;Kistermann;Thomas;1970;MLPD;;Nordrhein-Westfalen;13
;;;Kisters;Stefan;1966;GRÜNE;214;;
;;;Kitzberger;Manfred;1959;REP;;Bayern;7
;;;Klaeden von;Eckart Peter Hans;1965;CDU;49;Niedersachsen;2
;;;Klages;Simon;1969;PIRATEN;;Hessen;2
;;;Klampe;Olaf;1955;FDP;7;Schleswig-Holstein;10
;;;Klamt;Ewa;1950;CDU;46;Niedersachsen;15
;;;Klamt;Guido;1970;ödp;265;;
;;;Klanke;Olaf;1967;NPD;42;;
;;;Klare;Wolfgang;1966;FDP;138;Nordrhein-Westfalen;58
;;;Klaschka;Andreas;1958;FDP;189;Thüringen;5
;;;Klatt;Anne;1982;GRÜNE;16;Mecklenburg-Vorpommern;5
;;;Klaus;Helmut;1949;REP;;Bayern;17
;;;Klawun;Werner;1942;NPD;27;;
;;;Kleffel;Anne Käthe;1951;MLPD;;Niedersachsen;2
;;;Kleffel;Kurt-Peter;1953;MLPD;42;Niedersachsen;6
;;;Kleiminger;Christian;1965;SPD;14;;
;;;Klein;Achim;1952;ödp;17;;
;;;Klein;Martin;1959;DIE LINKE;205;;
;;;Klein;Rosalinde;1941;CM;;Bayern;1
;;;Klein;Volkmar;1960;CDU;149;Nordrhein-Westfalen;32
;;;Klein-Schmeink;Maria Anna;1958;GRÜNE;130;Nordrhein-Westfalen;11
;;;Kleinert;Thea;1966;DIE LINKE;;Bremen;3
;;;Kleinfeld;Renate;1952;SPD;;Hamburg;8
;;;Kleinmann;Dr. Peter;1956;CDU;;Saarland;8
;;;Kleist;Alexander;1984;FDP;;Saarland;9
;;;Klemke;Horst Karl Hermann;1937;RENTNER;;Nordrhein-Westfalen;12
;;;Klemkow;Jan;1988;PIRATEN;;Mecklenburg-Vorpommern;3
;;;Klenhart;Heidrich Torwald;1975;NPD;232;Bayern;10
;;;Kleppe;Thomas;1962;PBC;;Bremen;3
;;;Klimke;Jürgen;1948;CDU;23;Hamburg;2
;;;Klingbeil;Lars;1978;SPD;36;Niedersachsen;7
;;;Klinge;Marcel;1980;FDP;286;Baden-Württemberg;29
;;;Klingenberg;Harald;1950;Freie Union;66;;
;;;Klinger;Wolfgang;1961;DIE LINKE;115;;
;;;Klingner;Andreas;1961;;156;;
;;;Klis;Peter;1956;;174;;
;;;Klodt;Hubert;1951;FDP;129;Nordrhein-Westfalen;25
;;;Klöckner;Julia;1972;CDU;202;Rheinland-Pfalz;6
;;;Klose;Hans-Ulrich;1937;SPD;24;;
;;;Klotzbücher;Dr. Michael;1951;FDP;288;Baden-Württemberg;22
;;;Klotzsche;Mario;1977;FDP;175;Hessen;21
;;;Klug;Astrid;1968;SPD;299;Saarland;3
;;;Klug;Christoph Augustinus;1950;MLPD;;Nordrhein-Westfalen;27
;;;Klug;Hans-Robert;1972;NPD;199;;
;;;Knape;Andy;1986;NPD;67;;
;;;Knapp;Adolf;1952;DIE LINKE;178;;
;;;Knauber;Martin;1963;FDP;112;Nordrhein-Westfalen;54
;;;Knauer;Detlef;1958;GRÜNE;44;;
;;;Knebel;Daniel;1984;NPD;180;Hessen;4
;;;Knitsch;Peter Erich;1960;GRÜNE;105;;
;;;Knoche;Matthias;1961;GRÜNE;172;Hessen;8
;;;Knoche;Monika;1954;DIE LINKE;159;Sachsen;9
;;;Knocke;Rolf Bernhard;1953;DIE LINKE;;Nordrhein-Westfalen;33
;;;Knöchner;Sieglinde;1953;DIE LINKE;224;Bayern;13
;;;Knoerig;Axel;1967;CDU;34;Niedersachsen;26
;;;Knöß;Dr. Per;1977;FDP;204;;
;;;Knollmann;Carmen;1956;CDU;139;Nordrhein-Westfalen;37
;;;Knopek;Dr. Lutz;1958;FDP;54;Niedersachsen;9
;;;Knott;Thorsten;1974;FDP;99;Nordrhein-Westfalen;29
;;;Knuffke;Frank;1965;NPD;;Brandenburg;11
;;;Kobe;Gerd;1948;REP;;Baden-Württemberg;13
;;;Kober;Pascal;1971;FDP;289;Baden-Württemberg;13
;;;Koch;Christian;1971;PIRATEN;;Niedersachsen;2
;;;Koch;Harald;1954;DIE LINKE;75;Sachsen-Anhalt;6
;;;Koch;Helga;1956;SPD;241;Bayern;20
;;;Koch;Torsten;1967;GRÜNE;52;;
;;;Koczy;Ute Maria Christine;1961;GRÜNE;136;Nordrhein-Westfalen;7
;;;Köhler;Heiko;1974;NPD;265;;
;;;Köhler;Dr. Kristina;1977;CDU;179;Hessen;8
;;;Köhler;Renate Erna;1938;DVU;;Schleswig-Holstein;1
;;;Koehler;Ulrich-Günther;1954;FDP;70;;
;;;Köhler;Werner;1955;GRÜNE;29;Niedersachsen;16
;;;Köhn;Annette;1976;;83;;
;;;Kölle;Christian;1952;MLPD;;Hamburg;6
;;;Köllner;Marion Monika Ingrid;1952;DIE LINKE;;Niedersachsen;16
;;;Köllner;Werner;1954;DKP;;Berlin;7
;;;König;Josef;1966;FDP;;Bayern;47
;;;König;Roland;1966;FDP;296;Saarland;3
;;;König;Ulrich;1981;PIRATEN;;Schleswig-Holstein;3
;;;Koenigs;Thomas;1944;GRÜNE;174;Hessen;4
;;;Königshaus;Hellmut Georg Richard;1950;FDP;85;Berlin;3
;;;Könnecke;Wolf-Dieter;1966;;55;;
;;;Köpp;Christian;1986;GRÜNE;278;;
;;;Köppen;Daniel;1984;BüSo;77;Berlin;4
;;;Koeppen;Jens;1962;CDU;58;Brandenburg;4
;;;Körber;Sebastian;1980;FDP;236;Bayern;9
;;;Koerlin;Julia;1954;SPD;;Hessen;32
;;;Körndl;Georg;1958;BüSo;;Bayern;16
;;;Körner;Frank;1962;NPD;171;;
;;;Körner;Steve;1979;PBC;167;;
;;;Körper;Fritz Rudolf;1954;SPD;202;Rheinland-Pfalz;5
;;;Köschinger;Anton;1961;DVU;;Hessen;2
;;;Köse;Hamiyet;1960;DIE LINKE;;Hamburg;7
;;;Koesling;Michael;1976;FAMILIE;111;Nordrhein-Westfalen;9
;;;Köster;Stefan;1973;NPD;12;;
;;;Köster-Sollwedel;Hans Henning;1949;DIE LINKE;172;Hessen;8
;;;Kötter;Andrea;1964;SPD;;Niedersachsen;58
;;;Kofbinger;Anja;1960;GRÜNE;83;Berlin;5
;;;Kofler;Dr. Bärbel;1967;SPD;225;Bayern;16
;;;Koglin;Hauke;1988;NPD;;Bremen;5
;;;Kohl;Horst;1944;PBC;;Bayern;11
;;;Kohle;Hans August;1935;CDU;;Baden-Württemberg;55
;;;Kohlmann;Sascha;1975;CDU;;Rheinland-Pfalz;27
;;;Kokott;Manuela;1968;NPD;66;Brandenburg;3
;;;Kolarczik;Mirco;1984;DIE LINKE;294;;
;;;Kolb;Christian;1966;GRÜNE;177;Hessen;20
;;;Kolb;Dr. Heinrich Leonhard;1956;FDP;187;Hessen;3
;;;Kolb;Michael;1974;CDU;;Baden-Württemberg;33
;;;Kolbe;Anja;1980;FDP;192;Thüringen;3
;;;Kolbe;Daniela;1980;SPD;153;Sachsen;4
;;;Kolbe;Manfred Lothar;1953;CDU;152;;
;;;Kolbeck;Alexander Ludwig;1965;FAMILIE;;Bayern;1
;;;Kolkmann-Lutz;Dagmar Marie;1953;MLPD;;Sachsen;4
;;;Kolmorgen;Ingo;1972;GRÜNE;109;;
;;;Kolter;Cindy;1973;DIE LINKE;94;Nordrhein-Westfalen;28
;;;Konrad;Dr. Fred;1961;GRÜNE;211;Rheinland-Pfalz;4
;;;Koplin;Torsten;1962;DIE LINKE;18;Mecklenburg-Vorpommern;5
;;;Kopp;Gudrun;1950;FDP;136;Nordrhein-Westfalen;5
;;;Koppe;Walter Ernst Wolfgang;1957;DIE LINKE;214;;
;;;Koppelin;Jürgen;1945;FDP;3;Schleswig-Holstein;1
;;;Korcian;Eva;1990;BP;;Bayern;27
;;;Kordes;Henrik;1948;MLPD;;Hessen;3
;;;Korfmann;Patrick Alexander;1980;REP;230;;
;;;Korntreff;Ina;1967;MLPD;72;Sachsen-Anhalt;2
;;;Korntreff;Stefanie;1986;MLPD;;Thüringen;2
;;;Korte;Jan;1977;DIE LINKE;72;Sachsen-Anhalt;2
;;;Korte;Prof. Dr. Niels;1969;CDU;85;Berlin;12
;;;Kortmann;Karin;1959;SPD;108;Nordrhein-Westfalen;24
;;;Koschmieder;Dietmar;1955;DKP;;Berlin;13
;;;Koschorrek;Dr. Rolf;1956;CDU;3;Schleswig-Holstein;8
;;;Koschyk;Hartmut;1959;CSU;237;;
;;;Kosmanek;Margot;1933;CDU;;Baden-Württemberg;45
;;;Kosow;Heiko;1947;GRÜNE;148;;
;;;Koß;Thoralf;1964;GRÜNE;156;;
;;;Koß;Dr. Volker;1949;GRÜNE;11;;
;;;Kossack;Philip;1989;GRÜNE;31;;
;;;Kossendey;Thomas;1948;CDU;28;Niedersachsen;5
;;;Kotting-Uhl;Sylvia;1952;GRÜNE;271;Baden-Württemberg;3
;;;Kotzian;Emanuel;1972;PIRATEN;244;;
;;;Kovac;Kordula;1957;CDU;;Baden-Württemberg;12
;;;Koziolek;Stephan-Gerhard;1968;DIE LINKE;;Niedersachsen;19
;;;Krabbes;Stefan;1987;GRÜNE;71;;
;;;Krämer;Martin;1986;NPD;266;;
;;;Kraemer-Schwinn;Ulrike;1956;DIE VIOLETTEN;97;;
;;;Kraft;Ursula;1953;CDU;;Hessen;23
;;;Kraft;Volker;1953;MLPD;259;Baden-Württemberg;3
;;;Krafzik;Günter;1934;PBC;;Bayern;4
;;;Kramer;Benjamin Manuel;1978;FDP;188;Hessen;11
;;;Kramer;Klaus-Dieter;1944;;166;;
;;;Kramer;Rolf;1949;SPD;34;Niedersachsen;18
;;;Krames;Erich;1934;NPD;201;Rheinland-Pfalz;7
;;;Kramme;Anette;1967;SPD;237;Bayern;12
;;;Kranz;Ernst;1950;SPD;190;Thüringen;5
;;;Kraume;Matthias;1982;BüSo;121;Nordrhein-Westfalen;4
;;;Krause;Brian;1972;GRÜNE;270;;
;;;Krause;Dr. Dietrich-Eckard;1941;FDP;18;Mecklenburg-Vorpommern;7
;;;Krause;Hendrik;1987;PIRATEN;;Mecklenburg-Vorpommern;2
;;;Krause;Johannes;1958;SPD;73;Sachsen-Anhalt;5
;;;Krause;Ludwig;1938;CM;;Bayern;9
;;;Krause;Rainer Eckehard;1946;FDP;151;Nordrhein-Westfalen;60
;;;Krause;Steffen;1976;DVU;;Bremen;2
;;;Krauß;Arthur Wolfram;1947;;196;;
;;;Krauß;Reiner;1950;PBC;;Rheinland-Pfalz;3
;;;Krauth;Tanja;1968;DIE LINKE;202;;
;;;Krebs;Jörg;1975;NPD;183;Hessen;1
;;;Kreh;Matthias;1980;SPD;;Hessen;19
;;;Kreidemann;Alexander F.;1959;NPD;256;;
;;;Kreil;Horst;1938;BüSo;79;Berlin;7
;;;Krell;Andreas;1955;ödp;;Rheinland-Pfalz;9
;;;Krellmann;Jutta;1956;DIE LINKE;47;Niedersachsen;5
;;;Kremer;Marc-Benedict;1973;NPD;100;;
;;;Kressl;Nicolette;1958;SPD;273;Baden-Württemberg;3
;;;Krestel;Holger;1955;FDP;82;Berlin;4
;;;Kretschmer;Michael;1975;CDU;158;;
;;;Kretzschmann;Gunter;1951;NPD;112;;
;;;Krichbaum;Gunther;1964;CDU;279;;
;;;Krichel-Mäurer;Hermann-Josef;1962;SPD;110;Nordrhein-Westfalen;40
;;;Krien;Frank Hartmut;1956;NPD;167;Sachsen;4
;;;Krings;Dr. Günter;1969;CDU;110;Nordrhein-Westfalen;31
;;;Krischer;Oliver;1969;GRÜNE;91;Nordrhein-Westfalen;8
;;;Krix;Stefan;1966;ödp;126;;
;;;Krögner;Walter;1963;SPD;;Baden-Württemberg;36
;;;Krönauer;Manfred;1974;FDP;;Bayern;16
;;;Krogmann;Dr. Martina;1964;CDU;31;Niedersachsen;3
;;;Kroll;Daniela;1971;FWD;;Brandenburg;6
;;;Kroll;Dorothee;1955;GRÜNE;93;Nordrhein-Westfalen;29
;;;Kronimus;Kilian;1965;ödp;;Baden-Württemberg;4
;;;Kruczkowski;Katarzyna Dorota;1979;BüSo;120;Nordrhein-Westfalen;1
;;;Krüger;Dr. Hans-Ulrich;1952;SPD;114;Nordrhein-Westfalen;36
;;;Krüger;Jürgen;1964;REP;;Nordrhein-Westfalen;12
;;;Krüger;Lasse;1989;NPD;;Niedersachsen;8
;;;Krüger;Mario;1970;PBC;;Bayern;8
;;;Krüger-Leißner;Angelika;1951;SPD;59;Brandenburg;6
;;;Krug;Daniel;1981;NPD;114;;
;;;Krug;Dr. Michael;1960;FDP;;Hessen;36
;;;Krumbachner;Alois;1953;BüSo;225;Bayern;17
;;;Krumwiede;Agnes;1977;GRÜNE;217;Bayern;9
;;;Krupp;Holger Karsten;1982;FDP;;Bremen;5
;;;Kruse;Michael;1985;PIRATEN;;Schleswig-Holstein;6
;;;Kruse;Rüdiger;1961;CDU;21;Hamburg;4
;;;Krutten;Stefan;1960;SPD;;Saarland;17
;;;Kubach;Walter;1955;DIE LINKE;266;;
;;;Kubacki;Klaus;1936;DKP;;Berlin;15
;;;Kubat;Stefan;1974;FDP;;Hamburg;12
;;;Kubisch;Christian;1974;PIRATEN;246;;
;;;Kucharczyk;Jürgen;1957;SPD;104;Nordrhein-Westfalen;30
;;;Kuchler;Hartwin;1945;BP;;Bayern;5
;;;Kuchta;Hans-Werner;1954;PBC;282;;
;;;Kudla;Bettina Irene;1962;CDU;153;;
;;;Küber;Thurid;1980;SPD;30;Niedersachsen;29
;;;Kühn;Stephan;1979;GRÜNE;161;Sachsen;2
;;;Kühn-Mengel;Helga;1947;SPD;93;Nordrhein-Westfalen;19
;;;Kühne;Steffen;1981;DIE LINKE;63;Brandenburg;8
;;;Kühnel;Hans-Gerd Lutz;1953;MLPD;;Nordrhein-Westfalen;17
;;;Kührt;Marcus;1983;BüSo;160;Sachsen;1
;;;Kühsel;Heinz Hans Hermann;1949;DIE LINKE;36;Niedersachsen;33
;;;Künast;Renate;1955;GRÜNE;82;Berlin;1
;;;Künstle;Jutta Maria Irene;1939;PBC;;Bayern;13
;;;Kues;Dr. Hermann;1949;CDU;32;Niedersachsen;4
;;;Küster;Jörg-Friedrich;1964;DIE LINKE;32;Niedersachsen;17
;;;Kuhlmann;Max;1985;VIOLETTEN;;Berlin;5
;;;Kuhn;Dr. Arnd;1957;GRÜNE;99;Nordrhein-Westfalen;26
;;;Kuhn;Fritz;1955;GRÜNE;274;Baden-Württemberg;2
;;;Kuhn;Klaus Dieter Kurt;1955;DVU;;Brandenburg;1
;;;Kujath;Rudolf;1942;SPD;86;Berlin;10
;;;Kumpf;Ute;1947;SPD;259;Baden-Württemberg;7
;;;Kunert;Katrin;1964;DIE LINKE;67;Sachsen-Anhalt;3
;;;Kunkel;Willibert;1950;NPD;89;Nordrhein-Westfalen;8
;;;Kunkis-Becker;Cornelia;1960;GRÜNE;286;;
;;;Kuntz;Ernst Jakob;1949;DIE LINKE;212;;
;;;Kunz;Christian;1978;DIE LINKE;;Sachsen-Anhalt;10
;;;Kunz;Viktor;1979;;209;;
;;;Kurnaz;Bayram;1969;;54;;
;;;Kursawe;Günter;1959;NPD;238;;
;;;Kurtenbach;Wolfgang Wilhelm;1940;RRP;;Nordrhein-Westfalen;1
;;;Kurth;Markus;1966;GRÜNE;143;Nordrhein-Westfalen;6
;;;Kurth;Patrick;1976;FDP;191;Thüringen;1
;;;Kurth;Undine;1951;GRÜNE;69;Sachsen-Anhalt;1
;;;Kurz;Matthias;1984;PIRATEN;;Saarland;3
;;;Kuschke;Dietmar;1967;DIE LINKE;231;;
;;;Kuske;Monika;1957;MLPD;;Sachsen-Anhalt;1
;;;Kutzmutz;Rolf;1947;DIE LINKE;62;;
;;;Laame;Benedikt;1984;FDP;;Nordrhein-Westfalen;48
;;;Laaser;Sebastian;1981;SPD;;Nordrhein-Westfalen;68
;;;Labigne;Claire;1950;GRÜNE;;Hessen;25
;;;Labouvie;Christa;1956;GRÜNE;;Mecklenburg-Vorpommern;3
;;;Labudda;Carsten;1975;DIE LINKE;274;;
;;;Lach;Günter;1954;CDU;52;Niedersachsen;27
;;;Lachmann;Daniel;1980;NPD;177;Hessen;3
;;;Lachmann;Peter Christian Harri;1941;RRP;222;Bayern;4
;;;Ladewig;Richard;1966;FDP;220;Bayern;34
;;;Lämmel;Andreas Gottfried;1959;CDU;160;Sachsen;8
;;;Lämmel;Uwe;1959;GRÜNE;135;;
;;;Lämmer;Rosemarie;1954;REP;;Hessen;1
;;;Länge;Jean Dominique;1974;ödp;;Baden-Württemberg;7
;;;Lätzsch;Mike;1967;DIE LINKE;;Sachsen;14
;;;Lafontaine;Oskar;1943;DIE LINKE;;Saarland;1
;;;Lahni;Erhard;1965;FAMILIE;;Bayern;11
;;;Lambrecht;Christine;1965;SPD;188;Hessen;6
