Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Birkwald;Matthias W.;1961;DIE LINKE;95;Nordrhein-Westfalen;10
;;;Bischof;Florian;1977;PIRATEN;;Berlin;1
;;;Bischoff;Joachim;1944;DIE LINKE;19;;
;;;Bitsch;Peter;1950;REP;;Hessen;5
;;;Bittel;Dr. Günther Wolfgang;1953;MLPD;;Nordrhein-Westfalen;23
;;;Bläsche;Thomas;1978;FDP;205;Rheinland-Pfalz;10
;;;Bläsing;Robert;1982;FDP;22;Hamburg;11
;;;Blank;Kurt Jürgen;1970;NPD;257;;
;;;Blankenheim;Bernhard;1951;NPD;96;;
;;;Blech;Bernd;1961;REP;142;;
;;;Blechschmidt;Thomas;1965;;221;;
;;;Blender;Dr. Wolfgang;1955;FDP;;Rheinland-Pfalz;26
;;;Bleser;Peter;1952;CDU;201;Rheinland-Pfalz;4
;;;Bliemel;Stephan;1978;SPD;12;Mecklenburg-Vorpommern;5
;;;Bliss;Prof. Dr. Frank;1956;GRÜNE;199;;
;;;Blitz;Detlev;1958;SPD;187;Hessen;18
;;;Blocks;Günter;1958;DIE LINKE;126;;
;;;Blöcker;Dr. Helmut;1945;GRÜNE;51;;
;;;Blohm;Marion Else;1953;DVU;;Bremen;3
;;;Blome;Frank;1973;NPD;41;;
;;;Blotenberg;Barbara;1960;GRÜNE;144;;
;;;Bluhm;Heidrun;1958;DIE LINKE;17;Mecklenburg-Vorpommern;3
;;;Blum;Claudia;1968;SPD;175;Hessen;15
;;;Blume;Klaus;1944;RRP;226;;
;;;Blumenthal;Sebastian;1974;FDP;5;Schleswig-Holstein;3
;;;Blumentritt;Volker;1946;SPD;194;Thüringen;6
;;;Blumer;Jürgen;1958;MLPD;117;;
;;;Bockhahn;Steffen;1978;DIE LINKE;14;;
;;;Bögel;Claudia;1961;FDP;125;Nordrhein-Westfalen;17
;;;Böger;Melanie;1971;DIE LINKE;;Niedersachsen;9
;;;Böhler;Werner;1964;SPD;137;Nordrhein-Westfalen;41
;;;Böhm;Dr. Dorothea;1962;FAMILIE;;Nordrhein-Westfalen;2
;;;Böhm;Walter;1959;NPD;219;;
;;;Böhmer;Prof. Dr. Maria;1950;CDU;208;Rheinland-Pfalz;2
;;;Böhmler;Helmut;1952;MLPD;103;;
;;;Böhner;Georg;1957;DIE LINKE;237;;
;;;Böhning;Björn Lars;1978;SPD;84;;
;;;Börm;Manfred;1950;NPD;45;Niedersachsen;9
;;;Börnsen;Wolfgang;1942;CDU;1;Schleswig-Holstein;4
;;;Börs;Peter;1944;NPD;57;;
;;;Boes;Ralph;1957;;76;;
;;;Böttcher;Jorg;1958;;48;;
;;;Böttcher;Süntje;1981;PIRATEN;;Saarland;8
;;;Böttcher;Viktor;1952;SPD;;Hessen;34
;;;Böttger;Dr. Martin;1947;GRÜNE;166;;
;;;Bok;Karl-Heinz;1951;ödp;264;Baden-Württemberg;11
;;;Bollmann;Gerd;1947;SPD;142;;
;;;Bonde;Alexander;1975;GRÜNE;283;Baden-Württemberg;8
;;;Borde;Keno;1982;SPD;26;Niedersachsen;28
;;;Borgwardt;Klaus-Peter;1953;MLPD;;Baden-Württemberg;1
;;;Borgwardt;Sonja Angela;1951;MLPD;;Nordrhein-Westfalen;24
;;;Born;Helmut;1952;DIE LINKE;107;;
;;;Born;Markus;1982;NPD;106;;
;;;Born;Thomas;1983;BüSo;;Sachsen;10
;;;Borrmann;Raimund Frank;1960;NPD;15;;
;;;Bortlisz-Dickhoff;Johannes Martin Maria;1957;GRÜNE;92;;
;;;Bosbach;Wolfgang;1952;CDU;101;Nordrhein-Westfalen;7
;;;Bosold;Hans-Joachim;1952;NPD;175;;
;;;Bosse von;Dr. Arnold Klaus Siegmund Georg;1947;GRÜNE;15;;
;;;Bothe;Karin;1965;FDP;;Rheinland-Pfalz;25
;;;Bothe;Martin;1968;Tierschutz;;Niedersachsen;2
;;;Bousonville;Reiner;1961;GRÜNE;180;;
;;;Boxler;Stefan Alois;1964;GRÜNE;164;Sachsen;6
;;;Bracht-Bendt;Nicole;1959;FDP;37;Niedersachsen;6
;;;Brackmann;Norbert;1954;CDU;10;Schleswig-Holstein;11
;;;Brähmig;Klaus Peter;1957;CDU;159;Sachsen;6
;;;Bräuer;Rolf;1955;GRÜNE;46;;
;;;Bräutigam;Dr. Lutz;1968;GRÜNE;242;;
;;;Brand;Matthias Walter Heinrich;1961;FAMILIE;;Bayern;9
;;;Brand;Michael;1973;CDU;175;Hessen;18
;;;Brandhoff;Sascha;1982;PIRATEN;;Hessen;6
;;;Brandl;Bernd;1972;BP;;Bayern;14
;;;Brandl;Dr. Reinhard;1977;CSU;217;;
;;;Brandner;Klaus;1949;SPD;132;Nordrhein-Westfalen;6
;;;Brandt;Achim;1965;Volksabst.;;Baden-Württemberg;4
;;;Brandt;Fridolin;1945;DIE LINKE;216;;
;;;Brandt;Helmut;1950;CDU;89;Nordrhein-Westfalen;29
;;;Brandt;Holger Ernst;1989;;77;;
;;;Branghofer;Gerald;1983;DVU;;Nordrhein-Westfalen;3
;;;Branghofer;Max Erich;1945;DVU;;Nordrhein-Westfalen;1
;;;Brase;Willi;1951;SPD;149;Nordrhein-Westfalen;5
;;;Brauer;Stephen;1970;FDP;268;Baden-Württemberg;18
;;;Brauksiepe;Dr. Ralf;1967;CDU;140;Nordrhein-Westfalen;10
;;;Braun;Dr. Bernhard;1958;GRÜNE;208;;
;;;Braun;Dr. Helge Reinhold;1972;CDU;174;Hessen;10
;;;Braun;Petra;1957;MLPD;126;;
;;;Braun;Volker;1970;NPD;120;;
;;;Brauner;Manfred;1960;DIE LINKE;39;Niedersachsen;10
;;;Bredow;von Harald-Ingo;1949;BP;;Bayern;47
;;;Brehme;Ulrich Johannes;1966;ödp;;Niedersachsen;2
;;;Brehmer;Heike;1962;CDU;69;Sachsen-Anhalt;6
;;;Breidbach;Manfred Helmut;1968;NPD;107;Nordrhein-Westfalen;4
;;;Breidenbach;Rolf;1955;FDP;80;Berlin;11
;;;Breil;Klaus;1945;FDP;226;Bayern;13
;;;Breitenbach;Elke;1961;DIE LINKE;;Berlin;9
;;;Breitenfellner;Thomas Achim;1982;CSU;;Bayern;45
;;;Breitmeier;Adolf Wilhelm;1937;ADM;186;;
;;;Brem;Hermann;1961;GRÜNE;221;Bayern;16
;;;Bremer;Klaus;1952;MLPD;;Hessen;4
;;;Brenner;Dr. Gerd;1949;GRÜNE;110;;
;;;Brenning;Ernst;1952;CDU;;Berlin;10
;;;Bresch;Harald;1962;;67;;
;;;Bresonik;Frank;1969;FAMILIE;;Nordrhein-Westfalen;11
;;;Breyer;Eveline;1982;CDU;;Rheinland-Pfalz;38
;;;Brie;Dr. Andreas;1950;DIE LINKE;66;;
;;;Brinkhaus;Ralph;1968;CDU;132;Nordrhein-Westfalen;45
;;;Brinkmann;Bernhard;1952;SPD;49;Niedersachsen;22
;;;Brocke von;Rüdiger;1957;SPD;;Schleswig-Holstein;18
;;;Brodnicki;Benjamin;1986;DVU;;Bremen;5
;;;Brodtrück;Bernd;1970;BüSo;;Sachsen;8
;;;Brömsen;Edith;1959;VIOLETTEN;;Bayern;10
;;;Brose;Dieter Manfred;1943;NPD;61;Brandenburg;10
;;;Broziat;Martin;1962;FDP;12;;
;;;Brückner;Andreas;1968;;66;;
;;;Brüderle;Rainer;1945;FDP;206;Rheinland-Pfalz;1
;;;Brüggemann;Norbert;1975;FDP;32;Niedersachsen;25
;;;Brüggemann;Regine;1956;DIE LINKE;;Hamburg;2
;;;Brügmann;Klaus-Dieter;1951;DIE LINKE;7;;
;;;Brüning;Monika Minna Marie;1951;CDU;;Niedersachsen;31
;;;Brüsemeister;Peter Klaus;1966;DIE LINKE;234;Bayern;23
;;;Bruhn;Wolfgang;1961;NPD;99;;
;;;Brumann;Peter Josef;1942;FAMILIE;;Nordrhein-Westfalen;10
;;;Brummer;Doris;1960;CDU;;Baden-Württemberg;35
;;;Brunke-Reubold;Sabine;1969;GRÜNE;45;Niedersachsen;9
;;;Brunkhorst;Angelika;1955;FDP;29;Niedersachsen;4
;;;Brunner;Josef;1950;Freie Union;227;;
;;;Brunner;Dr. Karl Heinz;1953;SPD;255;Bayern;41
;;;Bruns;Eckhard Karl Alfred;1944;RRP;;Niedersachsen;6
;;;Bruns;Michael;1973;DIE LINKE;147;Nordrhein-Westfalen;16
;;;Brunschweiger;Jörg;1979;VIOLETTEN;;Bayern;5
;;;Brunschweiger;Rosi;1951;VIOLETTEN;;Bayern;12
;;;Bubendorfer;Raffaela;1988;FDP;213;Bayern;20
;;;Bucher;Klaus;1968;FDP;290;Baden-Württemberg;32
;;;Buchholz;Christine;1971;DIE LINKE;185;Hessen;3
;;;Buchholz;Conrad;1982;FDP;180;Hessen;18
;;;Buchholz;Doris;1959;FDP;;Saarland;6
;;;Buchmann;Daniel;1981;BüSo;85;Berlin;2
;;;Buchmann;Sven;1979;;83;;
;;;Buchner;Prof. Dr. Klaus;1941;ödp;;Berlin;3
;;;Buchs;Enrico;1976;FDP;66;;
;;;Buchta;Bettina Dorothee;1960;MLPD;;Bremen;4
;;;Buck;Josef;1961;MLPD;275;;
;;;Büchner;Andreas;1982;NPD;108;Nordrhein-Westfalen;12
;;;Büddemann;Manfred;1951;DIE LINKE;111;;
;;;Büdel;Katharina;1951;FDP;;Rheinland-Pfalz;29
;;;Bühner;Tim;1978;DIE LINKE;;Nordrhein-Westfalen;22
;;;Bülow;Marco;1971;SPD;143;Nordrhein-Westfalen;55
;;;Bünger;Hans-Ulrich;1940;DIE LINKE;285;;
;;;Büschleb;Andreas;1972;NPD;44;;
;;;Büsing;Erika-Marika;1964;SPD;;Bremen;5
;;;Buljevic;Vesna;1954;MLPD;;Nordrhein-Westfalen;8
;;;Bulke;Peter;1939;REP;;Baden-Württemberg;12
;;;Bulling-Schröter;Eva;1956;DIE LINKE;217;Bayern;2
;;;Bulmahn;Edelgard;1951;SPD;43;Niedersachsen;2
;;;Bummel;Andreas;1976;FDP;184;Hessen;13
;;;Bunge;Dr. Martina;1951;DIE LINKE;12;Mecklenburg-Vorpommern;2
;;;Burchardt;Ursula;1954;SPD;144;Nordrhein-Westfalen;27
;;;Burgbacher;Ernst;1949;FDP;285;Baden-Württemberg;3
;;;Burger;Dr. Thomas;1970;SPD;;Bayern;53
;;;Burger-Heidger;Max;1954;GRÜNE;285;;
;;;Burholt;Dr. Christian;1972;CDU;76;Berlin;8
;;;Burkart;Karin;1950;GRÜNE;296;Saarland;2
;;;Burkert;Boris;1961;GRÜNE;229;;
;;;Burkert;Martin;1964;SPD;245;Bayern;13
;;;Burkhardt;Karl-Heinz;1939;DVU;;Berlin;2
;;;Burkowski;Franz Paul;1930;PBC;;Bremen;4
;;;Burmeister;Erich Karl;1953;DIE LINKE;122;;
;;;Burmester;Andreas;1978;SPD;;Niedersachsen;41
;;;Bursian;Thomas Wolfgang;1959;FDP;;Rheinland-Pfalz;24
;;;Bursukis;Yani;1945;SPD;;Hessen;28
;;;Busch-Hübenbecker;Walter;1951;DIE LINKE;186;;
;;;Buschmann;Marco;1977;FDP;124;Nordrhein-Westfalen;20
;;;Bussche-Haddenhausen Freiherr von dem;Boris-Georg;1966;FDP;38;Niedersachsen;22
;;;Bußmann;Windfried;1951;RENTNER;;Nordrhein-Westfalen;3
;;;Butenschön;Brigitte;1949;MLPD;;Niedersachsen;7
;;;Caesar;Cajus Julius;1951;CDU;136;Nordrhein-Westfalen;20
;;;Canel;Sylvia;1958;FDP;;Hamburg;2
;;;Caravetta Glosemeyer;Immacolata;1965;SPD;;Niedersachsen;43
;;;Carlhoff;Hans-Werner;1947;CDU;;Baden-Württemberg;38
;;;Carls;Richard Hermann;1931;DVU;;Niedersachsen;3
;;;Carstensen;Christian;1973;SPD;22;Hamburg;5
;;;Caspary;Olaf;1967;DVU;;Berlin;3
;;;Castellucci;Dr. Lars;1974;SPD;277;Baden-Württemberg;22
;;;Cayrol;Nicole;1980;SPD;;Saarland;28
;;;Christen;Mario;1953;ödp;;Berlin;1
;;;Christiansen;Rainer Helmar;1945;;80;;
;;;Christinck;Heiner Leslie Otto;1946;FAMILIE;114;Nordrhein-Westfalen;3
;;;Christoph;Stefan;1988;GRÜNE;234;Bayern;22
;;;Ciechoradzki;Rainer;1965;ödp;;Thüringen;5
;;;Cigelski;Volker;1953;NPD;249;;
;;;Claaßen;Antje;1968;DIE LINKE;295;;
;;;Clasen;Bernhard;1957;DIE LINKE;110;;
;;;Claus;Roland;1954;DIE LINKE;74;Sachsen-Anhalt;4
;;;Claussen;Claus Christian;1961;CDU;;Schleswig-Holstein;14
;;;Clemens;Stefan Georg;1959;FAMILIE;;Bayern;12
;;;Coelho;Christine;1964;VIOLETTEN;;Baden-Württemberg;4
;;;Cölsch;Ingrid;1954;VIOLETTEN;80;Berlin;1
;;;Connemann;Gitta;1964;CDU;26;Niedersachsen;12
